X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98595,0.644157,9.82236,0.0022,-2.8636,2.39234,9.80634,0.0022,0.703533,-0.244285,9.82047,0.0022,-1.33555,3.85093,9.81907,0.0022,3.21834,2.49692,9.82272,0.0022,-3.58835,4.19578,9.80583,0.0022,2.22831,0.15604,9.8202,0.0022,-1.94951,-4.68114,9.81929,0.0022,-4.08307,-1.34756,9.82222,0.0022,-3.54496,-3.339,9.82208,0.0022,2.70641e+006,
-4.98588,0.644918,9.82665,0.0023,-2.85484,2.35808,9.81114,0.0023,0.691995,-0.247694,9.82472,0.0023,-1.32316,3.84247,9.82331,0.0023,3.21747,2.49971,9.82703,0.0023,-3.60694,4.22294,9.8106,0.0023,2.23779,0.157442,9.82443,0.0023,-1.94777,-4.66828,9.8235,0.0023,-4.08282,-1.34682,9.8265,0.0023,-3.54666,-3.33859,9.82636,0.0023,2.54344e+006,
-4.98581,0.645702,9.83043,0.0024,-2.84646,2.32495,9.81559,0.0024,0.680371,-0.251134,9.82847,0.0024,-1.31072,3.83396,9.82707,0.0024,3.21658,2.50258,9.83082,0.0024,-3.62519,4.24889,9.81501,0.0024,2.2473,0.158812,9.82818,0.0024,-1.94586,-4.65539,9.82723,0.0024,-4.08255,-1.34606,9.83027,0.0024,-3.54843,-3.33812,9.83012,0.0024,2.38628e+006,
-4.98576,0.646509,9.83367,0.0025,-2.83846,2.29293,9.81965,0.0025,0.66869,-0.254598,9.83171,0.0025,-1.29827,3.82542,9.83032,0.0025,3.21567,2.50553,9.83408,0.0025,-3.64312,4.27364,9.81903,0.0025,2.2568,0.160143,9.8314,0.0025,-1.94379,-4.64251,9.83045,0.0025,-4.08229,-1.34528,9.8335,0.0025,-3.55026,-3.33759,9.83334,0.0025,2.23651e+006,
-4.98571,0.647338,9.83636,0.0026,-2.83081,2.26201,9.82329,0.0026,0.65698,-0.258077,9.83441,0.0026,-1.28584,3.81689,9.83305,0.0026,3.21474,2.50856,9.83678,0.0026,-3.6607,4.29722,9.82263,0.0026,2.26628,0.16143,9.83409,0.0026,-1.94155,-4.62969,9.83313,0.0026,-4.08201,-1.34448,9.83618,0.0026,-3.55215,-3.337,9.83602,0.0026,2.09533e+006,
-4.98568,0.648189,9.83847,0.0027,-2.8235,2.23218,9.82647,0.0027,0.645264,-0.261564,9.83656,0.0027,-1.27344,3.80837,9.83524,0.0027,3.21378,2.51166,9.83891,0.0027,-3.67794,4.31967,9.82578,0.0027,2.27571,0.162668,9.83623,0.0027,-1.93914,-4.61693,9.83528,0.0027,-4.08174,-1.34366,9.83829,0.0027,-3.5541,-3.33636,9.83812,0.0027,1.96355e+006,
-4.98566,0.649061,9.84002,0.0028,-2.81652,2.20341,9.82918,0.0028,0.633566,-0.265054,9.83816,0.0028,-1.26109,3.79989,9.83689,0.0028,3.21281,2.51482,9.84046,0.0028,-3.69482,4.341,9.82846,0.0028,2.28508,0.163853,9.83782,0.0028,-1.93656,-4.60428,9.83688,0.0028,-4.08145,-1.34283,9.83984,0.0028,-3.55611,-3.33565,9.83966,0.0028,1.84163e+006,
-4.98565,0.649953,9.84101,0.0029,-2.80984,2.17567,9.83141,0.0029,0.621906,-0.26854,9.83922,0.0029,-1.24883,3.79146,9.83799,0.0029,3.21182,2.51805,9.84145,0.0029,-3.71136,4.36127,9.83066,0.0029,2.29435,0.16498,9.83886,0.0029,-1.93381,-4.59176,9.83794,0.0029,-4.08117,-1.34198,9.84082,0.0029,-3.55817,-3.33488,9.84064,0.0029,1.72973e+006,
-4.98566,0.650866,9.84143,0.003,-2.80345,2.14895,9.83314,0.003,0.610303,-0.272018,9.83973,0.003,-1.23666,3.78309,9.83857,0.003,3.21082,2.52134,9.84189,0.003,-3.72756,4.3805,9.83237,0.003,2.30353,0.166046,9.83936,0.003,-1.93091,-4.57938,9.83846,0.003,-4.08087,-1.34111,9.84124,0.003,-3.56029,-3.33405,9.84105,0.003,1.62772e+006,
-4.98568,0.651799,9.84132,0.0031,-2.79734,2.12321,9.83438,0.0031,0.598772,-0.275483,9.83971,0.0031,-1.2246,3.7748,9.83863,0.0031,3.20979,2.52468,9.84178,0.0031,-3.7434,4.39871,9.8336,0.0031,2.31258,0.167049,9.83934,0.0031,-1.92784,-4.56716,9.83847,0.0031,-4.08058,-1.34023,9.84113,0.0031,-3.56245,-3.33315,9.84093,0.0031,1.53519e+006,
