X_0,Y_0,Z_0,X_1,Y_1,Z_1,Time_list
-16.5957,2.11521,9.72174,-0.671329,-4.99021,9.95811,0.0118
-16.5954,2.11517,9.72731,-0.671328,-4.9902,9.9601,0.0119
-16.5951,2.11514,9.73352,-0.671327,-4.9902,9.96008,0.012
-16.5948,2.1151,9.74025,-0.671326,-4.99019,9.95814,0.0121
-16.5945,2.11506,9.74742,-0.671325,-4.99018,9.95437,0.0122
-16.5942,2.11502,9.75491,-0.671324,-4.99018,9.94888,0.0123
-16.5939,2.11498,9.76263,-0.671323,-4.99017,9.94181,0.0124
-16.5936,2.11494,9.77048,-0.671322,-4.99016,9.9333,0.0125
-16.5933,2.11491,9.77835,-0.671321,-4.99016,9.92351,0.0126
-16.593,2.11487,9.78616,-0.67132,-4.99015,9.9126,0.0127
-16.5927,2.11483,9.79381,-0.67132,-4.99014,9.90075,0.0128
-16.5924,2.11479,9.80122,-0.671319,-4.99013,9.88814,0.0129
-16.5921,2.11475,9.8083,-0.671318,-4.99013,9.87494,0.013
-16.5918,2.11471,9.81499,-0.671317,-4.99012,9.86133,0.0131
-16.5915,2.11468,9.82123,-0.671316,-4.99011,9.84749,0.0132
-16.5912,2.11464,9.82695,-0.671315,-4.99011,9.8336,0.0133
-16.5909,2.1146,9.83211,-0.671314,-4.9901,9.81982,0.0134
-16.5906,2.11456,9.83666,-0.671313,-4.99009,9.80631,0.0135
-16.5903,2.11452,9.84058,-0.671312,-4.99009,9.79323,0.0136
-16.59,2.11448,9.84385,-0.671311,-4.99008,9.7807,0.0137
-16.5897,2.11445,9.84644,-0.67131,-4.99007,9.76887,0.0138
-16.5894,2.11441,9.84837,-0.671309,-4.99007,9.75784,0.0139
-16.5891,2.11437,9.84962,-0.671308,-4.99006,9.74771,0.014
-16.5888,2.11433,9.8502,-0.671307,-4.99005,9.73857,0.0141
-16.5885,2.11429,9.85015,-0.671306,-4.99004,9.73049,0.0142
-16.5882,2.11425,9.84948,-0.671305,-4.99004,9.72353,0.0143
-16.5879,2.11422,9.84823,-0.671304,-4.99003,9.71772,0.0144
-16.5876,2.11418,9.84642,-0.671304,-4.99002,9.7131,0.0145
-16.5873,2.11414,9.84411,-0.671303,-4.99002,9.70966,0.0146
-16.587,2.1141,9.84135,-0.671302,-4.99001,9.70741,0.0147
-16.5867,2.11406,9.83817,-0.671301,-4.99,9.70633,0.0148
-16.5864,2.11402,9.83464,-0.6713,-4.99,9.70638,0.0149
-16.5861,2.11398,9.83082,-0.671299,-4.98999,9.70752,0.015
-16.5858,2.11395,9.82675,-0.671298,-4.98998,9.7097,0.0151
-16.5855,2.11391,9.82249,-0.671297,-4.98997,9.71285,0.0152
-16.5852,2.11387,9.81811,-0.671296,-4.98997,9.71689,0.0153
-16.5849,2.11383,9.81366,-0.671295,-4.98996,9.72174,0.0154
-16.5846,2.11379,9.8092,-0.671294,-4.98995,9.72731,0.0155
-16.5843,2.11375,9.80478,-0.671293,-4.98995,9.73352,0.0156
-16.584,2.11372,9.80045,-0.671292,-4.98994,9.74025,0.0157
-16.5837,2.11368,9.79625,-0.671291,-4.98993,9.74742,0.0158
-16.5834,2.11364,9.79224,-0.67129,-4.98992,9.75491,0.0159
-16.5831,2.1136,9.78846,-0.671289,-4.98992,9.76263,0.016
-16.5828,2.11356,9.78494,-0.671288,-4.98991,9.77048,0.0161
-16.5825,2.11352,9.78171,-0.671287,-4.9899,9.77835,0.0162
-16.5822,2.11349,9.77879,-0.671287,-4.9899,9.78616,0.0163
-16.5819,2.11345,9.77623,-0.671286,-4.98989,9.79381,0.0164
-16.5816,2.11341,9.77402,-0.671285,-4.98988,9.80122,0.0165
-16.5813,2.11337,9.77218,-0.671284,-4.98988,9.8083,0.0166
-16.581,2.11333,9.77072,-0.671283,-4.98987,9.81499,0.0167
-16.5807,2.11329,9.76965,-0.671282,-4.98986,9.82123,0.0168
-16.5804,2.11325,9.76895,-0.671281,-4.98985,9.82695,0.0169
-16.5801,2.11322,9.76863,-0.67128,-4.98985,9.83211,0.017
-16.5798,2.11318,9.76868,-0.671279,-4.98984,9.83666,0.0171
-16.5795,2.11314,9.76907,-0.671278,-4.98983,9.84058,0.0172
-16.5792,2.1131,9.76979,-0.671277,-4.98983,9.84385,0.0173
-16.5789,2.11306,9.77083,-0.671276,-4.98982,9.84644,0.0174
-16.5786,2.11302,9.77215,-0.671275,-4.98981,9.84837,0.0175
-16.5783,2.11299,9.77372,-0.671274,-4.98981,9.84962,0.0176
-16.578,2.11295,9.77553,-0.671273,-4.9898,9.8502,0.0177
-16.5777,2.11291,9.77754,-0.671272,-4.98979,9.85015,0.0178
-16.5774,2.11287,9.77972,-0.671271,-4.98978,9.84948,0.0179
-16.5771,2.11283,9.78203,-0.67127,-4.98978,9.84823,0.018
-16.5768,2.11279,9.78444,-0.67127,-4.98977,9.84642,0.0181
-16.5765,2.11276,9.78693,-0.671269,-4.98976,9.84411,0.0182
-16.5762,2.11272,9.78945,-0.671268,-4.98976,9.84135,0.0183
-16.5759,2.11268,9.79198,-0.671267,-4.98975,9.83817,0.0184
-16.5756,2.11264,9.79448,-0.671266,-4.98974,9.83464,0.0185
-16.5753,2.1126,9.79694,-0.671265,-4.98974,9.83082,0.0186
-16.575,2.11256,9.79931,-0.671264,-4.98973,9.82675,0.0187
-16.5746,2.11252,9.80158,-0.671263,-4.98972,9.82249,0.0188
-16.5743,2.11249,9.80372,-0.671262,-4.98971,9.81811,0.0189
-16.574,2.11245,9.80571,-0.671261,-4.98971,9.81366,0.019
-16.5737,2.11241,9.80753,-0.67126,-4.9897,9.8092,0.0191
-16.5734,2.11237,9.80918,-0.671259,-4.98969,9.80478,0.0192
-16.5731,2.11233,9.81062,-0.671258,-4.98969,9.80045,0.0193
-16.5728,2.11229,9.81187,-0.671257,-4.98968,9.79625,0.0194
