X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2
-16.6317,2.1198,9.82872,0.0078,-0.672299,-4.99742,9.82872,0.0114,-10.8678,11.969,9.82872,0.015
-16.6319,2.11982,9.84564,0.0079,-0.672315,-4.99754,9.84564,0.0115,-10.8679,11.9691,9.84564,0.0151
-16.632,2.11983,9.86107,0.008,-0.67233,-4.99766,9.86107,0.0116,-10.868,11.9692,9.86107,0.0152
-16.6321,2.11985,9.87491,0.0081,-0.672346,-4.99777,9.87491,0.0117,-10.8681,11.9692,9.87491,0.0153
-16.6322,2.11986,9.88708,0.0082,-0.672362,-4.99789,9.88708,0.0118,-10.8682,11.9693,9.88708,0.0154
-16.6323,2.11988,9.89753,0.0083,-0.672378,-4.99801,9.89753,0.0119,-10.8682,11.9694,9.89753,0.0155
-16.6325,2.11989,9.90621,0.0084,-0.672394,-4.99813,9.90621,0.012,-10.8683,11.9695,9.90621,0.0156
-16.6326,2.11991,9.91311,0.0085,-0.67241,-4.99825,9.91311,0.0121,-10.8684,11.9696,9.91311,0.0157
-16.6327,2.11992,9.91823,0.0086,-0.672426,-4.99837,9.91823,0.0122,-10.8685,11.9697,9.91823,0.0158
-16.6328,2.11994,9.92158,0.0087,-0.672442,-4.99848,9.92158,0.0123,-10.8686,11.9698,9.92158,0.0159
-16.6329,2.11995,9.9232,0.0088,-0.672458,-4.9986,9.9232,0.0124,-10.8686,11.9699,9.9232,0.016
-16.633,2.11997,9.92314,0.0089,-0.672474,-4.99872,9.92314,0.0125,-10.8687,11.9699,9.92314,0.0161
-16.6332,2.11998,9.92146,0.009,-0.67249,-4.99884,9.92146,0.0126,-10.8688,11.97,9.92146,0.0162
-16.6333,2.12,9.91826,0.0091,-0.672506,-4.99896,9.91826,0.0127,-10.8689,11.9701,9.91826,0.0163
-16.6334,2.12001,9.91362,0.0092,-0.672522,-4.99908,9.91362,0.0128,-10.869,11.9702,9.91362,0.0164
-16.6335,2.12003,9.90765,0.0093,-0.672538,-4.9992,9.90765,0.0129,-10.869,11.9703,9.90765,0.0165
-16.6336,2.12004,9.90046,0.0094,-0.672554,-4.99932,9.90046,0.013,-10.8691,11.9704,9.90046,0.0166
-16.6338,2.12006,9.89217,0.0095,-0.67257,-4.99944,9.89217,0.0131,-10.8692,11.9705,9.89217,0.0167
-16.6339,2.12007,9.88291,0.0096,-0.672586,-4.99956,9.88291,0.0132,-10.8693,11.9706,9.88291,0.0168
-16.634,2.12009,9.87281,0.0097,-0.672602,-4.99967,9.87281,0.0133,-10.8694,11.9707,9.87281,0.0169
-16.6341,2.1201,9.86202,0.0098,-0.672618,-4.99979,9.86202,0.0134,-10.8694,11.9707,9.86202,0.017
-16.6342,2.12012,9.85067,0.0099,-0.672634,-4.99991,9.85067,0.0135,-10.8695,11.9708,9.85067,0.0171
-16.6344,2.12013,9.83889,0.01,-0.67265,-5.00003,9.83889,0.0136,-10.8696,11.9709,9.83889,0.0172
-16.6345,2.12015,9.82683,0.0101,-0.672666,-5.00015,9.82683,0.0137,-10.8697,11.971,9.82683,0.0173
-16.6346,2.12017,9.81462,0.0102,-0.672682,-5.00027,9.81462,0.0138,-10.8698,11.9711,9.81462,0.0174
-16.6347,2.12018,9.80239,0.0103,-0.672699,-5.00039,9.80239,0.0139,-10.8699,11.9712,9.80239,0.0175
-16.6348,2.1202,9.79027,0.0104,-0.672715,-5.00051,9.79027,0.014,-10.8699,11.9713,9.79027,0.0176
-16.635,2.12021,9.77838,0.0105,-0.672731,-5.00063,9.77838,0.0141,-10.87,11.9714,9.77838,0.0177
-16.6351,2.12023,9.76683,0.0106,-0.672747,-5.00075,9.76683,0.0142,-10.8701,11.9715,9.76683,0.0178
-16.6352,2.12024,9.75572,0.0107,-0.672763,-5.00087,9.75572,0.0143,-10.8702,11.9716,9.75572,0.0179
-16.6353,2.12026,9.74516,0.0108,-0.672779,-5.00099,9.74516,0.0144,-10.8703,11.9716,9.74516,0.018
-16.6354,2.12027,9.73522,0.0109,-0.672795,-5.00111,9.73522,0.0145,-10.8703,11.9717,9.73522,0.0181
-16.6356,2.12029,9.72599,0.011,-0.672811,-5.00123,9.72599,0.0146,-10.8704,11.9718,9.72599,0.0182
-16.6357,2.1203,9.71754,0.0111,-0.672828,-5.00135,9.71754,0.0147,-10.8705,11.9719,9.71754,0.0183
-16.6358,2.12032,9.70991,0.0112,-0.672844,-5.00147,9.70991,0.0148,-10.8706,11.972,9.70991,0.0184
-16.6359,2.12033,9.70315,0.0113,-0.67286,-5.00159,9.70315,0.0149,-10.8707,11.9721,9.70315,0.0185
-16.636,2.12035,9.69731,0.0114,-0.672876,-5.00171,9.69731,0.015,-10.8707,11.9722,9.69731,0.0186
-16.6362,2.12036,9.6924,0.0115,-0.672892,-5.00183,9.6924,0.0151,-10.8708,11.9723,9.6924,0.0187
