X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-13.7263,1.74685,9.79815,1.0996,-0.66229,-4.92311,9.79815,1.1032,-8.9942,9.90967,9.79815,1.1068,-13.1202,-11.0531,9.79815,1.1104,13.4682,-1.49767,9.79815,1.114
-13.7261,1.74682,9.79815,1.0997,-0.66229,-4.9231,9.79815,1.1033,-8.99405,9.90951,9.79815,1.1069,-13.12,-11.0529,9.79815,1.1105,13.4679,-1.49765,9.79815,1.1141
-13.7258,1.74679,9.79815,1.0998,-0.662289,-4.9231,9.79815,1.1034,-8.99391,9.90934,9.79815,1.107,-13.1197,-11.0527,9.79815,1.1106,13.4677,-1.49762,9.79815,1.1142
-13.7256,1.74676,9.79815,1.0999,-0.662288,-4.92309,9.79815,1.1035,-8.99376,9.90918,9.79815,1.1071,-13.1195,-11.0525,9.79815,1.1107,13.4675,-1.4976,9.79815,1.1143
-13.7254,1.74673,9.79815,1.1,-0.662287,-4.92309,9.79815,1.1036,-8.99361,9.90902,9.79815,1.1072,-13.1193,-11.0523,9.79815,1.1108,13.4673,-1.49758,9.79815,1.1144
-13.7252,1.74671,9.79815,1.1001,-0.662287,-4.92308,9.79815,1.1037,-8.99346,9.90886,9.79815,1.1073,-13.119,-11.0521,9.79815,1.1109,13.467,-1.49755,9.79815,1.1145
-13.7249,1.74668,9.79815,1.1002,-0.662286,-4.92307,9.79815,1.1038,-8.99331,9.90869,9.79815,1.1074,-13.1188,-11.0519,9.79815,1.111,13.4668,-1.49753,9.79815,1.1146
-13.7247,1.74665,9.79815,1.1003,-0.662285,-4.92307,9.79815,1.1039,-8.99317,9.90853,9.79815,1.1075,-13.1185,-11.0517,9.79815,1.1111,13.4666,-1.4975,9.79815,1.1147
-13.7245,1.74662,9.79815,1.1004,-0.662284,-4.92306,9.79815,1.104,-8.99302,9.90837,9.79815,1.1076,-13.1183,-11.0515,9.79815,1.1112,13.4664,-1.49748,9.79815,1.1148
-13.7242,1.74659,9.79815,1.1005,-0.662284,-4.92306,9.79815,1.1041,-8.99287,9.90821,9.79815,1.1077,-13.1181,-11.0513,9.79815,1.1113,13.4662,-1.49745,9.79815,1.1149
-13.724,1.74656,9.79815,1.1006,-0.662283,-4.92305,9.79815,1.1042,-8.99272,9.90805,9.79815,1.1078,-13.1178,-11.0511,9.79815,1.1114,13.4659,-1.49743,9.79815,1.115
-13.7238,1.74653,9.79815,1.1007,-0.662282,-4.92305,9.79815,1.1043,-8.99257,9.90788,9.79815,1.1079,-13.1176,-11.0509,9.79815,1.1115,13.4657,-1.4974,9.79815,1.1151
-13.7236,1.7465,9.79815,1.1008,-0.662282,-4.92304,9.79815,1.1044,-8.99243,9.90772,9.79815,1.108,-13.1173,-11.0507,9.79815,1.1116,13.4655,-1.49738,9.79815,1.1152
