X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98581,0.645036,9.8232,0.0022,-2.85533,2.35588,9.82319,0.0022,0.69021,-0.248251,9.82319,0.0022,-1.32043,3.84143,9.82319,0.0022,3.21726,2.50033,9.8232,0.0022,-3.60876,4.22339,9.8232,0.0022,2.2391,0.157557,9.8232,0.0022,-1.94733,-4.66605,9.8232,0.0022,-4.08275,-1.34662,9.8232,0.0022,-3.54701,-3.33855,9.82319,0.0022,2.96431e+006,
-4.98574,0.645876,9.82752,0.0023,-2.8463,2.3201,9.82752,0.0023,0.677749,-0.251942,9.82752,0.0023,-1.30704,3.83233,9.82752,0.0023,3.2163,2.50342,9.82752,0.0023,-3.62844,4.25141,9.82752,0.0023,2.24928,0.159016,9.82752,0.0023,-1.94528,-4.65222,9.82752,0.0023,-4.08247,-1.3458,9.82752,0.0023,-3.54892,-3.33805,9.82752,0.0023,2.78332e+006,
-4.98567,0.646743,9.83134,0.0024,-2.83767,2.28553,9.83133,0.0024,0.665214,-0.255661,9.83133,0.0024,-1.29362,3.8232,9.83133,0.0024,3.21531,2.50661,9.83134,0.0024,-3.64777,4.27815,9.83134,0.0024,2.25946,0.160433,9.83133,0.0024,-1.94304,-4.63839,9.83134,0.0024,-4.08218,-1.34496,9.83134,0.0024,-3.55089,-3.33749,9.83133,0.0024,2.60952e+006,
-4.98562,0.647635,9.83461,0.0025,-2.82943,2.25213,9.8346,0.0025,0.652637,-0.259401,9.8346,0.0025,-1.2802,3.81405,9.8346,0.0025,3.2143,2.50988,9.83461,0.0025,-3.66674,4.30362,9.83461,0.0025,2.26962,0.161801,9.83461,0.0025,-1.94061,-4.62461,9.83461,0.0025,-4.08188,-1.3441,9.83461,0.0025,-3.55294,-3.33686,9.8346,0.0025,2.44455e+006,
-4.98559,0.648551,9.83732,0.0026,-2.82155,2.21991,9.83731,0.0026,0.640046,-0.263153,9.83732,0.0026,-1.26682,3.80492,9.83731,0.0026,3.21326,2.51323,9.83732,0.0026,-3.68535,4.32785,9.83732,0.0026,2.27974,0.163115,9.83732,0.0026,-1.93798,-4.61091,9.83732,0.0026,-4.08158,-1.34321,9.83732,0.0026,-3.55505,-3.33616,9.83731,0.0026,2.28963e+006,
-4.98557,0.649493,9.83946,0.0027,-2.81401,2.18884,9.83945,0.0027,0.627468,-0.266909,9.83946,0.0027,-1.25349,3.79583,9.83946,0.0027,3.21221,2.51667,9.83946,0.0027,-3.70358,4.35088,9.83946,0.0027,2.28978,0.164368,9.83946,0.0027,-1.93517,-4.59731,9.83946,0.0027,-4.08127,-1.34231,9.83946,0.0027,-3.55723,-3.3354,9.83945,0.0027,2.14554e+006,
-4.98556,0.650458,9.84102,0.0028,-2.8068,2.15889,9.84102,0.0028,0.614927,-0.270664,9.84102,0.0028,-1.24025,3.78678,9.84102,0.0028,3.21113,2.52017,9.84102,0.0028,-3.72144,4.37274,9.84102,0.0028,2.29973,0.165558,9.84102,0.0028,-1.93217,-4.58384,9.84102,0.0028,-4.08096,-1.34139,9.84102,0.0028,-3.55947,-3.33455,9.84102,0.0028,2.01268e+006,
-4.98557,0.651447,9.84202,0.0029,-2.79991,2.13003,9.84202,0.0029,0.602445,-0.274411,9.84202,0.0029,-1.22711,3.77781,9.84202,0.0029,3.21004,2.52375,9.84202,0.0029,-3.73893,4.39347,9.84202,0.0029,2.30957,0.166679,9.84202,0.0029,-1.92898,-4.57054,9.84202,0.0029,-4.08064,-1.34045,9.84202,0.0029,-3.56177,-3.33364,9.84202,0.0029,1.89108e+006,
-4.98559,0.652459,9.84245,0.003,-2.79331,2.10225,9.84245,0.003,0.590041,-0.278144,9.84245,0.003,-1.21409,3.76891,9.84245,0.003,3.20892,2.52739,9.84245,0.003,-3.75604,4.41311,9.84245,0.003,2.31928,0.167728,9.84245,0.003,-1.92561,-4.55741,9.84245,0.003,-4.08032,-1.33949,9.84245,0.003,-3.56413,-3.33265,9.84245,0.003,1.78045e+006,
-4.98563,0.653495,9.84234,0.0031,-2.78698,2.0755,9.84234,0.0031,0.577733,-0.28186,9.84234,0.0031,-1.20121,3.76012,9.84234,0.0031,3.20779,2.5311,9.84234,0.0031,-3.77278,4.43168,9.84234,0.0031,2.32884,0.168703,9.84234,0.0031,-1.92206,-4.54448,9.84234,0.0031,-4.08,-1.33852,9.84234,0.0031,-3.56655,-3.33158,9.84234,0.0031,1.68025e+006,
