X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-16.6196,2.11826,10.0828,0.0036,-0.67137,-4.99052,10.0828,0.0072,-10.8598,11.9601,10.0828,0.0108,-16.1616,-13.6153,10.0828,0.0144,16.278,-1.81013,10.0828,0.018
-16.6194,2.11823,10.0407,0.0037,-0.671369,-4.99051,10.0407,0.0073,-10.8596,11.9599,10.0407,0.0109,-16.1613,-13.6151,10.0407,0.0145,16.2777,-1.81011,10.0407,0.0181
-16.6191,2.11819,9.99806,0.0038,-0.671368,-4.99051,9.99806,0.0074,-10.8595,11.9598,9.99806,0.011,-16.1611,-13.6148,9.99806,0.0146,16.2775,-1.81008,9.99806,0.0182
-16.6189,2.11816,9.95503,0.0039,-0.671368,-4.9905,9.95503,0.0075,-10.8593,11.9596,9.95503,0.0111,-16.1608,-13.6146,9.95503,0.0147,16.2773,-1.81005,9.95503,0.0183
-16.6186,2.11813,9.91179,0.004,-0.671367,-4.99049,9.91179,0.0076,-10.8592,11.9594,9.91179,0.0112,-16.1605,-13.6144,9.91179,0.0148,16.277,-1.81003,9.91179,0.0184
-16.6184,2.1181,9.86886,0.0041,-0.671366,-4.99049,9.86886,0.0077,-10.859,11.9592,9.86886,0.0113,-16.1603,-13.6142,9.86886,0.0149,16.2768,-1.81,9.86886,0.0185
-16.6181,2.11806,9.82674,0.0042,-0.671365,-4.99048,9.82674,0.0078,-10.8588,11.9591,9.82674,0.0114,-16.16,-13.6139,9.82674,0.015,16.2765,-1.80997,9.82674,0.0186
-16.6178,2.11803,9.78589,0.0043,-0.671364,-4.99048,9.78589,0.0079,-10.8587,11.9589,9.78589,0.0115,-16.1597,-13.6137,9.78589,0.0151,16.2763,-1.80994,9.78589,0.0187
-16.6176,2.118,9.74677,0.0044,-0.671364,-4.99047,9.74677,0.008,-10.8585,11.9587,9.74677,0.0116,-16.1595,-13.6135,9.74677,0.0152,16.276,-1.80991,9.74677,0.0188
-16.6173,2.11796,9.70976,0.0045,-0.671363,-4.99046,9.70976,0.0081,-10.8583,11.9585,9.70976,0.0117,-16.1592,-13.6132,9.70976,0.0153,16.2758,-1.80989,9.70976,0.0189
-16.6171,2.11793,9.67522,0.0046,-0.671362,-4.99046,9.67522,0.0082,-10.8582,11.9583,9.67522,0.0118,-16.1589,-13.613,9.67522,0.0154,16.2755,-1.80986,9.67522,0.019
-16.6168,2.1179,9.64347,0.0047,-0.671361,-4.99045,9.64347,0.0083,-10.858,11.9581,9.64347,0.0119,-16.1586,-13.6128,9.64347,0.0155,16.2752,-1.80983,9.64347,0.0191
-16.6165,2.11786,9.61479,0.0048,-0.67136,-4.99044,9.61479,0.0084,-10.8578,11.9579,9.61479,0.012,-16.1583,-13.6125,9.61479,0.0156,16.275,-1.8098,9.61479,0.0192
-16.6163,2.11783,9.58939,0.0049,-0.671359,-4.99044,9.58939,0.0085,-10.8576,11.9577,9.58939,0.0121,-16.1581,-13.6123,9.58939,0.0157,16.2747,-1.80977,9.58939,0.0193
-16.616,2.11779,9.56745,0.005,-0.671359,-4.99043,9.56745,0.0086,-10.8575,11.9575,9.56745,0.0122,-16.1578,-13.6121,9.56745,0.0158,16.2744,-1.80974,9.56745,0.0194
-16.6157,2.11776,9.54911,0.0051,-0.671358,-4.99043,9.54911,0.0087,-10.8573,11.9573,9.54911,0.0123,-16.1575,-13.6118,9.54911,0.0159,16.2742,-1.80971,9.54911,0.0195
-16.6154,2.11772,9.53443,0.0052,-0.671357,-4.99042,9.53443,0.0088,-10.8571,11.9572,9.53443,0.0124,-16.1572,-13.6116,9.53443,0.016,16.2739,-1.80968,9.53443,0.0196
-16.6152,2.11769,9.52346,0.0053,-0.671356,-4.99041,9.52346,0.0089,-10.8569,11.957,9.52346,0.0125,-16.1569,-13.6113,9.52346,0.0161,16.2736,-1.80965,9.52346,0.0197
-16.6149,2.11765,9.51617,0.0054,-0.671355,-4.99041,9.51617,0.009,-10.8567,11.9568,9.51617,0.0126,-16.1566,-13.6111,9.51617,0.0162,16.2734,-1.80962,9.51617,0.0198
-16.6146,2.11762,9.51253,0.0055,-0.671354,-4.9904,9.51253,0.0091,-10.8566,11.9566,9.51253,0.0127,-16.1563,-13.6108,9.51253,0.0163,16.2731,-1.80959,9.51253,0.0199
-16.6143,2.11758,9.51243,0.0056,-0.671353,-4.99039,9.51243,0.0092,-10.8564,11.9564,9.51243,0.0128,-16.156,-13.6106,9.51243,0.0164,16.2728,-1.80956,9.51243,0.02
-16.614,2.11755,9.51573,0.0057,-0.671352,-4.99039,9.51573,0.0093,-10.8562,11.9562,9.51573,0.0129,-16.1557,-13.6103,9.51573,0.0165,16.2726,-1.80953,9.51573,0.0201
-16.6138,2.11751,9.52226,0.0058,-0.671352,-4.99038,9.52226,0.0094,-10.856,11.956,9.52226,0.013,-16.1554,-13.6101,9.52226,0.0166,16.2723,-1.8095,9.52226,0.0202
