X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19,Time_list,Temperature_list,Speed_list
-0.911689,-0.0653078,9.5889,-0.811705,1.84548,9.83115,0.232282,1.12568,9.74658,-1.76053,-1.75681,9.87373,1.8289,-1.01944,10.0344,-1.2204,0.922467,9.78277,1.69399,2.12348,9.91828,-2.30617,-1.236,10.1976,1.68245,-1.60234,9.92141,-0.523463,-1.08126,9.30541,-1.27321,-2.20193,9.74325,2.4724,-1.14979,10.0983,0.32204,-0.866047,9.89602,0.998748,-1.82988,9.72923,0.496354,1.4952,9.8574,0.272841,-1.77626,9.67308,-1.69759,1.9899,9.81896,2.44701,1.33252,9.22954,-2.21552,2.41514,9.48359,-0.511898,0.825477,9.72431,0.002,1.27468e+008,
-0.811945,-0.00207054,9.56838,-0.8132,1.81524,9.81819,0.164186,0.963406,9.71409,-1.77249,-1.7553,9.85573,1.75869,-0.973307,10.0437,-1.25183,0.884414,9.78059,1.74612,2.16502,9.9377,-2.25989,-1.05924,10.225,1.66274,-1.60548,9.91503,-0.485637,-1.0243,9.21016,-1.37393,-2.22288,9.71914,2.24397,-1.10333,10.1336,0.426465,-0.677246,9.91441,0.979271,-1.80498,9.69957,0.607456,1.3953,9.86877,0.323251,-1.72362,9.62994,-1.71148,1.95833,9.82093,2.45944,1.2121,9.16526,-2.15166,2.29855,9.42328,-0.525049,0.749295,9.70802,0.0021,1.34736e+008,
-0.719104,0.0507433,9.55211,-0.803781,1.79043,9.81003,0.0926512,0.770002,9.67496,-1.79762,-1.72745,9.84682,1.68884,-0.925939,10.051,-1.30567,0.839422,9.78462,1.79524,2.20062,9.96191,-2.21361,-0.881925,10.2505,1.65798,-1.59735,9.91396,-0.45318,-0.966434,9.11714,-1.45526,-2.2407,9.6957,2.01547,-1.05624,10.1666,0.536546,-0.476068,9.9402,0.96444,-1.78415,9.66979,0.749312,1.32571,9.8924,0.36052,-1.6767,9.58891,-1.72849,1.91337,9.83588,2.46564,1.07991,9.10695,-2.10519,2.18911,9.35669,-0.530668,0.663163,9.69402,0.0022,1.39909e+008,
-0.634778,0.0856099,9.53877,-0.781766,1.77236,9.80677,0.0332748,0.567358,9.63457,-1.83604,-1.6707,9.84765,1.61927,-0.877496,10.0561,-1.38147,0.788808,9.79589,1.84097,2.23072,9.99056,-2.16738,-0.704113,10.2739,1.66894,-1.57915,9.91869,-0.425098,-0.91005,9.0288,-1.51568,-2.25654,9.67267,1.78731,-1.00852,10.1976,0.652165,-0.268284,9.9719,0.957194,-1.76901,9.64093,0.910612,1.26842,9.92307,0.378992,-1.63299,9.5503,-1.74629,1.85402,9.86848,2.46534,0.937431,9.05622,-2.07797,2.08624,9.27987,-0.5339,0.575055,9.68448,0.0023,1.4336e+008,
-0.562308,0.0908695,9.52514,-0.746334,1.76114,9.80832,0.00189311,0.367866,9.59537,-1.88508,-1.58687,9.85775,1.54993,-0.828077,10.0591,-1.47713,0.732906,9.815,1.88309,2.25614,10.0231,-2.12121,-0.525928,10.2952,1.69467,-1.55231,9.92932,-0.400484,-0.856744,8.94703,-1.55815,-2.2702,9.65036,1.55969,-0.960057,10.2266,0.774913,-0.0591413,10.0085,0.960771,-1.76152,9.61441,1.08205,1.2155,9.95759,0.374262,-1.59015,9.51425,-1.76476,1.78217,9.92167,2.45865,0.786101,9.01445,-2.06805,1.98783,9.19065,-0.543105,0.499246,9.68416,0.0024,1.47572e+008,
-0.507234,0.0494225,9.50482,-0.697685,1.75638,9.81438,0.0119924,0.175569,9.5578,-1.94126,-1.48177,9.87561,1.4807,-0.777718,10.0597,-1.58905,0.671829,9.84195,1.92219,2.27861,10.0582,-2.07511,-0.34751,10.3143,1.73336,-1.51821,9.9457,-0.378786,-0.807525,8.87303,-1.58754,-2.28029,9.62963,1.33252,-0.910823,10.254,0.905676,0.147473,10.0489,0.977088,-1.7637,9.59173,1.25808,1.1642,9.99428,0.34521,-1.54577,9.48128,-1.78534,1.70207,9.99448,2.44599,0.627401,8.98281,-2.07112,1.89165,9.09149,-0.566758,0.457119,9.70212,0.0025,1.57825e+008,
-0.47342,-0.0517108,9.47052,-0.637147,1.75725,9.82448,0.0763777,-0.0140134,9.52483,-2.00201,-1.36243,9.89949,1.41152,-0.726406,10.058,-1.71267,0.60494,9.87626,1.96113,2.30097,10.0911,-2.02914,-0.169015,10.3313,1.78252,-1.48058,9.96778,-0.359091,-0.762917,8.80758,-1.60837,-2.28606,9.61171,1.10531,-0.860989,10.2798,1.03688,0.353936,10.0871,1.00582,-1.7767,9.57457,1.43617,1.11336,10.0323,0.295785,-1.49841,9.45325,-1.81166,1.61885,10.0829,2.42725,0.46389,8.96266,-2.08453,1.79692,8.98941,-0.608169,0.467162,9.7492,0.0026,1.75206e+008,
-0.464567,-0.198488,9.42335,-0.567152,1.76304,9.83819,0.194745,-0.202105,9.49949,-2.06467,-1.234,9.92768,1.34243,-0.674369,10.0541,-1.84501,0.532744,9.91708,1.99995,2.3232,10.1218,-1.98336,0.00941842,10.3462,1.8396,-1.43981,9.99504,-0.34179,-0.724039,8.7495,-1.62404,-2.28848,9.59772,0.877904,-0.81071,10.3038,1.16843,0.56032,10.1232,1.04371,-1.80086,9.56287,1.61444,1.06254,10.0706,0.231264,-1.44982,9.43179,-1.84279,1.53578,10.1808,2.40311,0.296796,8.95441,-2.1043,1.70319,8.89089,-0.665735,0.523325,9.82512,0.0027,1.87535e+008,
-0.479935,-0.362212,9.37538,-0.492621,1.77278,9.85572,0.355229,-0.387582,9.48566,-2.12705,-1.10098,9.95891,1.27338,-0.621754,10.0479,-1.98502,0.461285,9.96416,2.03866,2.34517,10.1502,-1.93781,0.187655,10.3591,1.90189,-1.39726,10.0268,-0.327176,-0.691334,8.69659,-1.63754,-2.29182,9.58982,0.650395,-0.760123,10.3259,1.3002,0.766879,10.1572,1.08741,-1.83616,9.55654,1.7927,1.01176,10.1066,0.157212,-1.40369,9.41884,-1.87413,1.45281,10.2768,2.37388,0.12827,8.95961,-2.12762,1.60959,8.80477,-0.730272,0.604032,9.91886,0.0028,1.93535e+008,
-0.513488,-0.527064,9.33712,-0.413886,1.78671,9.87623,0.542478,-0.567265,9.48521,-2.18824,-0.965708,9.99221,1.20438,-0.568735,10.0395,-2.13077,0.391453,10.0158,2.07729,2.3669,10.1764,-1.8925,0.36538,10.3705,1.96626,-1.35394,10.0615,-0.315319,-0.664622,8.64587,-1.65025,-2.29585,9.58828,0.422925,-0.709386,10.3462,1.43203,0.97359,10.1888,1.13513,-1.88115,9.55597,1.9709,0.961044,10.1403,0.0781757,-1.3645,9.4159,-1.90566,1.37002,10.3707,2.34025,-0.0410906,8.97774,-2.15316,1.51663,8.73279,-0.795171,0.694513,10.0215,0.0029,1.95513e+008,
