X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,Temperature_list,Speed_list
-16.625,2.11894,9.76703,0.043,-10.2234,10.2905,9.76703,0.043,2.83305,-0.671387,9.76703,0.043,-4.99064,13.1978,9.76703,0.043,10.7605,8.2194,9.76703,0.043,467.203,
-16.625,2.11894,9.76474,0.044,-10.2234,10.2905,9.76474,0.044,2.83305,-0.671387,9.76474,0.044,-4.99064,13.1978,9.76474,0.044,10.7605,8.2194,9.76474,0.044,9.66484,
-16.625,2.11894,9.7627,0.045,-10.2234,10.2905,9.7627,0.045,2.83305,-0.671387,9.7627,0.045,-4.99064,13.1978,9.7627,0.045,10.7605,8.2194,9.7627,0.045,227.856,
-16.625,2.11894,9.76274,0.046,-10.2234,10.2905,9.76274,0.046,2.83305,-0.671387,9.76274,0.046,-4.99064,13.1978,9.76274,0.046,10.7605,8.2194,9.76274,0.046,269.351,
-16.625,2.11894,9.76446,0.047,-10.2234,10.2905,9.76446,0.047,2.83305,-0.671387,9.76446,0.047,-4.99064,13.1978,9.76446,0.047,10.7605,8.2194,9.76446,0.047,6.2849,
-16.625,2.11894,9.76601,0.048,-10.2234,10.2905,9.76601,0.048,2.83305,-0.671387,9.76601,0.048,-4.99064,13.1978,9.76601,0.048,10.7605,8.2194,9.76601,0.048,128.305,
-16.625,2.11894,9.766,0.049,-10.2234,10.2905,9.766,0.049,2.83305,-0.671387,9.766,0.049,-4.99064,13.1978,9.766,0.049,10.7605,8.2194,9.766,0.049,155.252,
-16.625,2.11894,9.7647,0.05,-10.2234,10.2905,9.7647,0.05,2.83305,-0.671387,9.7647,0.05,-4.99064,13.1978,9.7647,0.05,10.7605,8.2194,9.7647,0.05,4.05478,
-16.625,2.11894,9.76352,0.051,-10.2234,10.2905,9.76352,0.051,2.83305,-0.671387,9.76352,0.051,-4.99064,13.1978,9.76352,0.051,10.7605,8.2194,9.76352,0.051,72.225,
-16.625,2.11894,9.76352,0.052,-10.2234,10.2905,9.76352,0.052,2.83305,-0.671387,9.76352,0.052,-4.99064,13.1978,9.76352,0.052,10.7605,8.2194,9.76352,0.052,89.4659,
-16.625,2.11894,9.7645,0.053,-10.2234,10.2905,9.7645,0.053,2.83305,-0.671387,9.7645,0.053,-4.99064,13.1978,9.7645,0.053,10.7605,8.2194,9.7645,0.053,2.59776,
-16.625,2.11894,9.76539,0.054,-10.2234,10.2905,9.76539,0.054,2.83305,-0.671387,9.76539,0.054,-4.99064,13.1978,9.76539,0.054,10.7605,8.2194,9.76539,0.054,40.6434,
-16.625,2.11894,9.76541,0.055,-10.2234,10.2905,9.76541,0.055,2.83305,-0.671387,9.76541,0.055,-4.99064,13.1978,9.76541,0.055,10.7605,8.2194,9.76541,0.055,51.5448,
-16.625,2.11894,9.76467,0.056,-10.2234,10.2905,9.76467,0.056,2.83305,-0.671387,9.76467,0.056,-4.99064,13.1978,9.76467,0.056,10.7605,8.2194,9.76467,0.056,1.6539,
-16.625,2.11894,9.76399,0.057,-10.2234,10.2905,9.76399,0.057,2.83305,-0.671387,9.76399,0.057,-4.99064,13.1978,9.76399,0.057,10.7605,8.2194,9.76399,0.057,22.8638,
-16.625,2.11894,9.76397,0.058,-10.2234,10.2905,9.76397,0.058,2.83305,-0.671387,9.76397,0.058,-4.99064,13.1978,9.76397,0.058,10.7605,8.2194,9.76397,0.058,29.6905,
-16.625,2.11894,9.76453,0.059,-10.2234,10.2905,9.76453,0.059,2.83305,-0.671387,9.76453,0.059,-4.99064,13.1978,9.76453,0.059,10.7605,8.2194,9.76453,0.059,1.04711,
-16.625,2.11894,9.76504,0.06,-10.2234,10.2905,9.76504,0.06,2.83305,-0.671387,9.76504,0.06,-4.99064,13.1978,9.76504,0.06,10.7605,8.2194,9.76504,0.06,12.8577,
-16.625,2.11894,9.76506,0.061,-10.2234,10.2905,9.76506,0.061,2.83305,-0.671387,9.76506,0.061,-4.99064,13.1978,9.76506,0.061,10.7605,8.2194,9.76506,0.061,17.0985,
-16.625,2.11894,9.76465,0.062,-10.2234,10.2905,9.76465,0.062,2.83305,-0.671387,9.76465,0.062,-4.99064,13.1978,9.76465,0.062,10.7605,8.2194,9.76465,0.062,0.659584,
-16.625,2.11894,9.76425,0.063,-10.2234,10.2905,9.76425,0.063,2.83305,-0.671387,9.76425,0.063,-4.99064,13.1978,9.76425,0.063,10.7605,8.2194,9.76425,0.063,7.22818,
-16.625,2.11894,9.76424,0.064,-10.2234,10.2905,9.76424,0.064,2.83305,-0.671387,9.76424,0.064,-4.99064,13.1978,9.76424,0.064,10.7605,8.2194,9.76424,0.064,9.84479,
-16.625,2.11894,9.76455,0.065,-10.2234,10.2905,9.76455,0.065,2.83305,-0.671387,9.76455,0.065,-4.99064,13.1978,9.76455,0.065,10.7605,8.2194,9.76455,0.065,0.413553,
-16.625,2.11894,9.76485,0.066,-10.2234,10.2905,9.76485,0.066,2.83305,-0.671387,9.76485,0.066,-4.99064,13.1978,9.76485,0.066,10.7605,8.2194,9.76485,0.066,4.06202,
-16.625,2.11894,9.76486,0.067,-10.2234,10.2905,9.76486,0.067,2.83305,-0.671387,9.76486,0.067,-4.99064,13.1978,9.76486,0.067,10.7605,8.2194,9.76486,0.067,5.66706,
-16.625,2.11894,9.76463,0.068,-10.2234,10.2905,9.76463,0.068,2.83305,-0.671387,9.76463,0.068,-4.99064,13.1978,9.76463,0.068,10.7605,8.2194,9.76463,0.068,0.258212,
-16.625,2.11894,9.7644,0.069,-10.2234,10.2905,9.7644,0.069,2.83305,-0.671387,9.7644,0.069,-4.99064,13.1978,9.7644,0.069,10.7605,8.2194,9.7644,0.069,2.28193,
-16.625,2.11894,9.76439,0.07,-10.2234,10.2905,9.76439,0.07,2.83305,-0.671387,9.76439,0.07,-4.99064,13.1978,9.76439,0.07,10.7605,8.2194,9.76439,0.07,3.26152,
-16.625,2.11894,9.76456,0.071,-10.2234,10.2905,9.76456,0.071,2.83305,-0.671387,9.76456,0.071,-4.99064,13.1978,9.76456,0.071,10.7605,8.2194,9.76456,0.071,0.160605,
-16.625,2.11894,9.76474,0.072,-10.2234,10.2905,9.76474,0.072,2.83305,-0.671387,9.76474,0.072,-4.99064,13.1978,9.76474,0.072,10.7605,8.2194,9.76474,0.072,1.28146,
-16.625,2.11894,9.76475,0.073,-10.2234,10.2905,9.76475,0.073,2.83305,-0.671387,9.76475,0.073,-4.99064,13.1978,9.76475,0.073,10.7605,8.2194,9.76475,0.073,1.87669,
-16.625,2.11894,9.76462,0.074,-10.2234,10.2905,9.76462,0.074,2.83305,-0.671387,9.76462,0.074,-4.99064,13.1978,9.76462,0.074,10.7605,8.2194,9.76462,0.074,0.0995426,
-16.625,2.11894,9.76448,0.075,-10.2234,10.2905,9.76448,0.075,2.83305,-0.671387,9.76448,0.075,-4.99064,13.1978,9.76448,0.075,10.7605,8.2194,9.76448,0.075,0.719358,
-16.625,2.11894,9.76447,0.076,-10.2234,10.2905,9.76447,0.076,2.83305,-0.671387,9.76447,0.076,-4.99064,13.1978,9.76447,0.076,10.7605,8.2194,9.76447,0.076,1.07962,
-16.625,2.11894,9.76457,0.077,-10.2234,10.2905,9.76457,0.077,2.83305,-0.671387,9.76457,0.077,-4.99064,13.1978,9.76457,0.077,10.7605,8.2194,9.76457,0.077,0.0614943,
-16.625,2.11894,9.76467,0.078,-10.2234,10.2905,9.76467,0.078,2.83305,-0.671387,9.76467,0.078,-4.99064,13.1978,9.76467,0.078,10.7605,8.2194,9.76467,0.078,0.40366,
-16.625,2.11894,9.76468,0.079,-10.2234,10.2905,9.76468,0.079,2.83305,-0.671387,9.76468,0.079,-4.99064,13.1978,9.76468,0.079,10.7605,8.2194,9.76468,0.079,0.620954,
-16.625,2.11894,9.76461,0.08,-10.2234,10.2905,9.76461,0.08,2.83305,-0.671387,9.76461,0.08,-4.99064,13.1978,9.76461,0.08,10.7605,8.2194,9.76461,0.08,0.0378759,
-16.625,2.11894,9.76453,0.081,-10.2234,10.2905,9.76453,0.081,2.83305,-0.671387,9.76453,0.081,-4.99064,13.1978,9.76453,0.081,10.7605,8.2194,9.76453,0.081,0.226422,
-16.625,2.11894,9.76452,0.082,-10.2234,10.2905,9.76452,0.082,2.83305,-0.671387,9.76452,0.082,-4.99064,13.1978,9.76452,0.082,10.7605,8.2194,9.76452,0.082,0.357081,
-16.625,2.11894,9.76458,0.083,-10.2234,10.2905,9.76458,0.083,2.83305,-0.671387,9.76458,0.083,-4.99064,13.1978,9.76458,0.083,10.7605,8.2194,9.76458,0.083,0.0232624,
