X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,Time_list,Temperature_list,Speed_list
-0.0411607,2.31172,10.0373,1.55657,1.98591,10.6779,1.64387,-0.939592,10.0462,-0.684338,-0.873005,9.94709,1.10448,-2.41446,10.3144,0.0128,3.735e+007,
-0.0963541,2.29453,10.0593,1.57324,2.03946,10.6747,1.65589,-0.97861,10.076,-0.60377,-0.852423,9.91142,1.05033,-2.43248,10.281,0.0129,3.7382e+007,
-0.151542,2.27729,10.0789,1.58993,2.09299,10.6691,1.66793,-1.01762,10.1034,-0.523262,-0.831778,9.87469,0.996188,-2.4505,10.2453,0.013,3.74016e+007,
-0.206728,2.25999,10.096,1.60663,2.14651,10.6611,1.68,-1.05663,10.1284,-0.442814,-0.811064,9.83769,0.942064,-2.46854,10.207,0.0131,3.74026e+007,
-0.261915,2.24265,10.1107,1.62334,2.20002,10.6507,1.6921,-1.09564,10.1509,-0.362426,-0.790279,9.80123,0.887954,-2.48658,10.1664,0.0132,3.73872e+007,
-0.317107,2.22526,10.123,1.64007,2.25352,10.6378,1.70424,-1.13465,10.171,-0.282098,-0.769418,9.76612,0.833858,2.49535,10.1233,0.0133,3.73641e+007,
-0.372308,2.20782,10.1328,1.65682,2.307,10.6226,1.71642,-1.17365,10.1887,-0.201837,-0.748472,9.73315,0.779778,2.47726,10.0778,0.0134,3.73543e+007,
-0.42752,2.19035,10.1403,1.67359,2.36047,10.6049,1.72864,-1.21266,10.2039,-0.12164,-0.727439,9.70308,0.725713,2.45914,10.0299,0.0135,3.73834e+007,
-0.482745,2.17283,10.1453,1.69037,2.41393,10.5848,1.74091,-1.25167,10.2168,-0.0415094,-0.706315,9.67663,0.671664,2.44098,9.97951,0.0136,3.74819e+007,
-0.538016,2.15527,10.1479,1.7072,2.46737,10.5623,1.75323,-1.29068,10.2272,0.0384936,-0.684934,9.65442,0.61769,2.42262,9.9268,0.0137,3.75793e+007,
-0.593486,2.13763,10.1481,1.72422,-2.47921,10.5375,1.76564,-1.32964,10.2352,0.118062,-0.662459,9.63689,0.564075,2.40322,9.87248,0.0138,3.76207e+007,
-0.649152,2.11993,10.1459,1.74139,-2.4258,10.5103,1.77814,-1.36856,10.2408,0.197263,-0.638847,9.62451,0.510775,2.38271,9.81772,0.0139,3.76223e+007,
-0.705007,2.10216,10.1414,1.7587,-2.3724,10.4808,1.79073,-1.40745,10.2441,0.27617,-0.614076,9.61766,0.45773,2.36109,9.76369,0.014,3.76094e+007,
-0.761044,2.08433,10.1345,1.77612,-2.319,10.449,1.80342,-1.44631,10.2449,0.354861,-0.588151,9.6166,0.404874,2.33835,9.71157,0.0141,3.76141e+007,
-0.817256,2.06645,10.1252,1.79365,-2.26561,10.4148,1.81619,-1.48515,10.2433,0.433412,-0.561107,9.62149,0.352141,2.31454,9.66253,0.0142,3.76729e+007,
-0.873632,2.04852,10.1135,1.81127,-2.21224,10.3782,1.82905,-1.52397,10.2394,0.511889,-0.532999,9.63232,0.299469,2.2897,9.6177,0.0143,3.78261e+007,
-0.930168,2.03055,10.0995,1.82897,-2.15889,10.3392,1.842,-1.56278,10.233,0.590351,-0.5039,9.64897,0.246809,2.26393,9.57812,0.0144,3.81125e+007,
